workload            Locking         OCC             OCC-P           MVCC            Strife
Read-only           18888.7         35628.5         33516.1         32963.6         14952.8
Write-only          15938.1         26588           27033.6         13253.4         11368.4
Mixed-read          18785.2         38889.5         34882.9         28250.9         14536.5
Mixed-write         16382.2         28801.3         28082.4         11760.2         10269.6
