workload	Locking		    OCC		        OCC-P		    MVCC		    Strife
TPCC        8045.89         8526.52         10355.3         3594.47         8610.53


#TPCC        7908.46         8444.83         11047.3         4083.23         8516.62
#TPCC		7891.84         9204.41         12079.6         4451.42         7780.11
#TPCC        9030.25         9260.39         12208.4         4212.51         10060.1
