workload        Locking         OCC             OCC-P           MVCC            Strife
Read-only       44306.6         48552.4         48583.3         47183.4         41194.3
Write-only      29003.1         20141.3         22408           5888.45         25189.4
Mixed-read      38496.7         33460.6         40108.6         21992.9         20101.4
Mixed-write     29396.9         19212.2         25372.3         7255.63         25114.1
