workload                Locking         OCC             OCC-P           MVCC            Strife
Read-only               15870.6         35670.5         37080.1         32845.6         14198.9
Write-only              4236.67         3207.48         4415.97         484.632         5533.08
Mixed-read              13151.3         13351.6         19657.8         4895.59         7557.57
Mixed-write             7769.32         6993.34         10101.6         673.009         11113.6
